"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Проверка API методов продукта","Метод Авторизация","","0","0","5","0","0"
"Проверка API методов продукта","Регрессионные тесты","","0","0","2","0","0"
"Проверка API методов продукта","Метод Прикрепление документов","","0","0","1","0","0"
"Проверка API методов продукта","Метод сохранения","","0","0","1","0","0"
"Проверка API методов продукта","Метод Печати полиса","","0","0","2","0","0"
"Проверка API методов продукта","Метод Расчёт","","0","0","2","0","0"
"Проверка API методов продукта","Метод Получения справочных значений","","0","0","0","1","0"
"Проверка API методов продукта","Метод оформления","","0","0","1","0","0"
"Проверка API методов продукта","Метод Аннулирование","","0","0","2","0","0"
"Тестовый сайт","Проверка роботоспособности","","0","0","1","0","0"
