"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 10 12:48:28 UTC 2026","Wed Jun 10 12:48:31 UTC 2026","2937","","PDSAPI.tests.methods.AttachTests","","PDSAPI.tests.methods.AttachTests","successAttachWithPOJO","successAttachWithPOJO()","Успешное прикрепление документа в полис в статусе Проект"
"passed","Wed Jun 10 12:48:28 UTC 2026","Wed Jun 10 12:48:31 UTC 2026","2678","","PDSAPI.tests.methods.AnnulTests","","PDSAPI.tests.methods.AnnulTests","badAnnulDraftPOJO","badAnnulDraftPOJO()","Аннулирование полиса в статусе Проект"
"passed","Wed Jun 10 12:48:30 UTC 2026","Wed Jun 10 12:48:36 UTC 2026","6319","","PDSAPI.tests.e2e.RegressionTests","","PDSAPI.tests.e2e.RegressionTests","issueWithAnnulate","issueWithAnnulate()","Оформление полиса с последующим аннулированием"
"passed","Wed Jun 10 12:48:28 UTC 2026","Wed Jun 10 12:48:36 UTC 2026","7664","","PDSAPI.tests.methods.PrintTests","","PDSAPI.tests.methods.PrintTests","badPrint","badPrint()","Оформление полиса через печать"
"passed","Wed Jun 10 12:48:30 UTC 2026","Wed Jun 10 12:48:31 UTC 2026","872","","PDSAPI.tests.methods.CalcTests","","PDSAPI.tests.methods.CalcTests","successCalc","successCalc()","Успешный расчёт с передачей JSON"
"skipped","Wed Jun 10 12:48:28 UTC 2026","Wed Jun 10 12:48:28 UTC 2026","0","","PDSAPI.tests.methods.DictTests","","PDSAPI.tests.methods.DictTests","successGetDict","successGetDict()","Получение справочника регионов"
"passed","Wed Jun 10 12:48:28 UTC 2026","Wed Jun 10 12:48:30 UTC 2026","1902","","PDSAPI.tests.methods.CalcTests","","PDSAPI.tests.methods.CalcTests","successCalcWithPOJO","successCalcWithPOJO()","Успешный расчёт с передачей объекта"
"passed","Wed Jun 10 12:48:30 UTC 2026","Wed Jun 10 12:48:30 UTC 2026","728","","PDSAPI.tests.methods.AuthTests","","PDSAPI.tests.methods.AuthTests","badAuth","badAuth()","Авторизация с неверным паролем"
"passed","Wed Jun 10 12:48:28 UTC 2026","Wed Jun 10 12:48:34 UTC 2026","6404","","PDSAPI.tests.methods.IssueTests","","PDSAPI.tests.methods.IssueTests","successIssueWithPOJO","successIssueWithPOJO()","Оформление полиса в статусе Проект"
"passed","Wed Jun 10 12:48:33 UTC 2026","Wed Jun 10 12:48:39 UTC 2026","6168","","PDSAPI.tests.methods.IssueTests","","PDSAPI.tests.methods.IssueTests","badIssueWithPOJO","badIssueWithPOJO()","Оформление полиса в статусе Оформлен"
"passed","Wed Jun 10 12:48:31 UTC 2026","Wed Jun 10 12:48:33 UTC 2026","2105","","PDSAPI.tests.methods.AttachTests","","PDSAPI.tests.methods.AttachTests","badAttachWithPOJO","badAttachWithPOJO()","Прикрепление документа в полис с несуществующим типом"
"passed","Wed Jun 10 12:48:24 UTC 2026","Wed Jun 10 12:48:28 UTC 2026","3934","","PDSAPI.tests.methods.AuthTests","","PDSAPI.tests.methods.AuthTests","successAuthWithPOJO","successAuthWithPOJO(String, boolean) [2] ***, false","Проверка метода с передачей разных параметров на вход"
"passed","Wed Jun 10 12:48:28 UTC 2026","Wed Jun 10 12:48:29 UTC 2026","765","","PDSAPI.tests.methods.AuthTests","","PDSAPI.tests.methods.AuthTests","successAuthWithPOJO","successAuthWithPOJO(String, boolean) [1] ***, true","Проверка метода с передачей разных параметров на вход"
"passed","Wed Jun 10 12:48:29 UTC 2026","Wed Jun 10 12:48:30 UTC 2026","784","","PDSAPI.tests.methods.AuthTests","","PDSAPI.tests.methods.AuthTests","successAuthWithPOJO","successAuthWithPOJO(String, boolean) [3] ***, false","Проверка метода с передачей разных параметров на вход"
"passed","Wed Jun 10 12:48:31 UTC 2026","Wed Jun 10 12:48:37 UTC 2026","6286","","PDSAPI.tests.methods.AnnulTests","","PDSAPI.tests.methods.AnnulTests","successAnnulWithPOJO","successAnnulWithPOJO()","Аннулирование полиса в статусе Оформлен"
"passed","Wed Jun 10 12:48:28 UTC 2026","Wed Jun 10 12:48:34 UTC 2026","6305","","PDSAPI.tests.e2e.RegressionTests","","PDSAPI.tests.e2e.RegressionTests","issue","issue()","Оформление полиса"
"passed","Wed Jun 10 12:48:28 UTC 2026","Wed Jun 10 12:48:30 UTC 2026","2151","","PDSAPI.tests.methods.ImportTests","","PDSAPI.tests.methods.ImportTests","successImportWithPOJO","successImportWithPOJO()","Успешное сохранение полиса"
"passed","Wed Jun 10 12:48:34 UTC 2026","Wed Jun 10 12:48:41 UTC 2026","6231","","PDSAPI.tests.methods.PrintTests","","PDSAPI.tests.methods.PrintTests","badPrintDraftPOJO","badPrintDraftPOJO()","Печать черновика для оформленного полиса"
"passed","Wed Jun 10 12:48:31 UTC 2026","Wed Jun 10 12:48:37 UTC 2026","6133","","PDSAPI.tests.methods.PrintTests","","PDSAPI.tests.methods.PrintTests","successPrintDraftPOJO","successPrintDraftPOJO()","Печать Проекта"
"passed","Wed Jun 10 12:48:31 UTC 2026","Wed Jun 10 12:48:38 UTC 2026","7286","","PDSAPI.tests.methods.PrintTests","","PDSAPI.tests.methods.PrintTests","successPrintWithPOJO","successPrintWithPOJO()","Печать оформленного полиса"
"passed","Wed Jun 10 12:48:30 UTC 2026","Wed Jun 10 12:48:31 UTC 2026","715","","PDSAPI.tests.methods.AuthTests","","PDSAPI.tests.methods.AuthTests","successAuth","successAuth()","Успешная авторизация"
